Filename                           Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
compiler_exception.hpp                  11                 1    90.91%           3                 1    66.67%           8                 3    62.50%           0                 0         -
decouple.hpp                           364               108    70.33%          25                 1    96.00%         325                24    92.62%         209                63    69.86%
decouple_impl.hpp                      174                16    90.80%          13                 0   100.00%         284                 8    97.18%         115                 7    93.91%
expr_any.hpp                           116                 4    96.55%          33                 0   100.00%         259                 8    96.91%          63                 4    93.65%
expr_bool_op.hpp                       235                 8    96.60%          14                 0   100.00%         320                 4    98.75%         160                 6    96.25%
expr_bool_ops_list.hpp                 209                17    91.87%          14                 1    92.86%         256                11    95.70%         137                 8    94.16%
expr_ops_list.hpp                      318                22    93.08%          24                 0   100.00%         669                 5    99.25%         218                10    95.41%
expr_type_value.hpp                      2                 0   100.00%           2                 0   100.00%           6                 0   100.00%           0                 0         -
expression.hpp                           4                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
jump_optimizer.hpp                     187                12    93.58%          14                 0   100.00%         250                27    89.20%         152                29    80.92%
lut.hpp                                  9                 1    88.89%           5                 0   100.00%          19                 1    94.74%           4                 1    75.00%
main.cpp                                72                19    73.61%           2                 0   100.00%         145                58    60.00%          40                14    65.00%
null_stream.hpp                          3                 0   100.00%           2                 0   100.00%           2                 0   100.00%           0                 0         -
panic_exception.hpp                      3                 3     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
program.hpp                             51                 1    98.04%           5                 0   100.00%         164                 3    98.17%          35                 1    97.14%
statement.hpp                           74                11    85.14%          25                 3    88.00%          94                11    88.30%          35                 8    77.14%
stmt_assign_var.hpp                     27                 0   100.00%           7                 0   100.00%          47                 0   100.00%          18                 1    94.44%
stmt_block.hpp                          91                 1    98.90%           7                 0   100.00%         116                 2    98.28%          65                 3    95.38%
stmt_break.hpp                           4                 0   100.00%           3                 0   100.00%          11                 0   100.00%           0                 0         -
stmt_builtin_address_of.hpp             26                 0   100.00%           3                 0   100.00%          56                 0   100.00%          16                 0   100.00%
stmt_builtin_array_copy.hpp             26                 0   100.00%           3                 0   100.00%          87                 0   100.00%          18                 0   100.00%
stmt_builtin_array_size_of.hpp          22                 0   100.00%           3                 0   100.00%          40                 0   100.00%          12                 0   100.00%
stmt_builtin_arrays_equal.hpp           35                 1    97.14%           3                 0   100.00%         105                 2    98.10%          24                 1    95.83%
stmt_builtin_equal.hpp                  50                 2    96.00%           3                 0   100.00%         106                 8    92.45%          36                 4    88.89%
stmt_builtin_foo.hpp                    13                 0   100.00%           3                 0   100.00%          85                 0   100.00%           8                 0   100.00%
stmt_builtin_mov.hpp                     8                 0   100.00%           4                 0   100.00%          18                 0   100.00%           2                 0   100.00%
stmt_builtin_syscall.hpp                 6                 0   100.00%           2                 0   100.00%          10                 0   100.00%           2                 0   100.00%
stmt_call.hpp                          113                 2    98.23%           6                 0   100.00%         235                 4    98.30%          89                 2    97.75%
stmt_comment.hpp                         6                 0   100.00%           3                 0   100.00%          11                 0   100.00%           0                 0         -
stmt_const.hpp                          21                 0   100.00%           5                 0   100.00%          34                 0   100.00%           8                 0   100.00%
stmt_continue.hpp                        7                 0   100.00%           3                 0   100.00%          15                 0   100.00%           2                 0   100.00%
stmt_def_const.hpp                      14                 0   100.00%           3                 0   100.00%          28                 0   100.00%           6                 0   100.00%
stmt_def_dat.hpp                       238                 2    99.16%          15                 0   100.00%         460                 3    99.35%         167                 9    94.61%
stmt_def_func.hpp                       45                 0   100.00%          10                 0   100.00%         112                 0   100.00%          25                 0   100.00%
stmt_def_func_param.hpp                 38                 6    84.21%           5                 0   100.00%          43                 0   100.00%          17                 1    94.12%
stmt_def_type.hpp                       32                 0   100.00%           3                 0   100.00%          59                 0   100.00%          21                 1    95.24%
stmt_def_type_field.hpp                 28                 0   100.00%           7                 0   100.00%          48                 0   100.00%          16                 1    93.75%
stmt_def_var.hpp                        46                 0   100.00%           4                 0   100.00%         102                 0   100.00%          32                 0   100.00%
stmt_identifier.hpp                    178                 0   100.00%          17                 0   100.00%         325                 0   100.00%         135                 5    96.30%
stmt_if.hpp                             47                 0   100.00%           7                 0   100.00%          92                 0   100.00%          31                 0   100.00%
stmt_if_branch.hpp                      18                 0   100.00%           5                 0   100.00%          40                 0   100.00%           8                 0   100.00%
stmt_loop.hpp                            5                 0   100.00%           4                 0   100.00%          24                 0   100.00%           0                 0         -
stmt_return.hpp                          7                 0   100.00%           3                 0   100.00%          17                 0   100.00%           2                 0   100.00%
toc.hpp                                464                87    81.25%          90                 1    98.89%         650                40    93.85%         233                46    80.26%
token.hpp                               39                 0   100.00%          13                 0   100.00%          41                 0   100.00%          18                 3    83.33%
tokenizer.hpp                          144                27    81.25%          22                 0   100.00%         168                 0   100.00%          73                15    79.45%
type.hpp                                35                 0   100.00%          12                 0   100.00%          65                 0   100.00%          18                 0   100.00%
unary_ops.hpp                           27                 1    96.30%           9                 0   100.00%          49                 2    95.92%          21                 2    90.48%
utils.hpp                              167                 9    94.61%           5                 1    80.00%          82                15    81.71%         158                43    72.78%
x86.hpp                                361                82    77.29%          62                 0   100.00%         613                83    86.46%         265                68    74.34%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                 4220               443    89.50%         540                10    98.15%        6802               326    95.21%        2714               356    86.88%
